previous_frame,current_frame,changed_pixel_ratio,classification
frame_0173.jpg,frame_0174.jpg,0.0,same_build_sequence
frame_0174.jpg,frame_0175.jpg,0.0,same_build_sequence
frame_0175.jpg,frame_0176.jpg,0.0,same_build_sequence
frame_0176.jpg,frame_0177.jpg,0.0,same_build_sequence
frame_0177.jpg,frame_0178.jpg,0.0,same_build_sequence
frame_0178.jpg,frame_0179.jpg,0.0,same_build_sequence
frame_0179.jpg,frame_0180.jpg,0.0,same_build_sequence
frame_0180.jpg,frame_0181.jpg,0.0,same_build_sequence
frame_0181.jpg,frame_0182.jpg,0.0,same_build_sequence
frame_0182.jpg,frame_0183.jpg,0.0,same_build_sequence
frame_0183.jpg,frame_0184.jpg,0.000174,same_build_sequence
frame_0184.jpg,frame_0185.jpg,0.013333,same_build_sequence
frame_0185.jpg,frame_0186.jpg,0.0,same_build_sequence
frame_0186.jpg,frame_0187.jpg,0.0,same_build_sequence
frame_0187.jpg,frame_0188.jpg,0.0,same_build_sequence
frame_0188.jpg,frame_0189.jpg,0.0,same_build_sequence
frame_0189.jpg,frame_0190.jpg,0.0,same_build_sequence
frame_0190.jpg,frame_0191.jpg,0.0,same_build_sequence
frame_0191.jpg,frame_0192.jpg,0.0,same_build_sequence
frame_0192.jpg,frame_0193.jpg,0.0,same_build_sequence
frame_0193.jpg,frame_0194.jpg,0.0,same_build_sequence
frame_0194.jpg,frame_0195.jpg,0.000191,same_build_sequence
frame_0195.jpg,frame_0196.jpg,0.021024,same_build_sequence
frame_0196.jpg,frame_0197.jpg,0.0,same_build_sequence
frame_0197.jpg,frame_0198.jpg,0.0,same_build_sequence
frame_0198.jpg,frame_0199.jpg,0.0,same_build_sequence
frame_0199.jpg,frame_0200.jpg,0.0,same_build_sequence
frame_0200.jpg,frame_0201.jpg,0.0,same_build_sequence
frame_0201.jpg,frame_0202.jpg,0.0,same_build_sequence
frame_0202.jpg,frame_0203.jpg,0.0,same_build_sequence
frame_0203.jpg,frame_0204.jpg,0.0,same_build_sequence
frame_0204.jpg,frame_0205.jpg,0.0,same_build_sequence
frame_0205.jpg,frame_0206.jpg,0.0,same_build_sequence
frame_0206.jpg,frame_0207.jpg,0.0,same_build_sequence
frame_0207.jpg,frame_0208.jpg,0.0,same_build_sequence
frame_0208.jpg,frame_0209.jpg,0.0,same_build_sequence
frame_0209.jpg,frame_0210.jpg,0.0,same_build_sequence
frame_0210.jpg,frame_0211.jpg,0.0,same_build_sequence
frame_0211.jpg,frame_0212.jpg,0.0,same_build_sequence
frame_0212.jpg,frame_0213.jpg,0.0,same_build_sequence
frame_0213.jpg,frame_0214.jpg,0.0,same_build_sequence
frame_0214.jpg,frame_0215.jpg,0.0,same_build_sequence
frame_0215.jpg,frame_0216.jpg,0.0,same_build_sequence
frame_0216.jpg,frame_0217.jpg,0.0,same_build_sequence
frame_0217.jpg,frame_0218.jpg,0.0,same_build_sequence
frame_0218.jpg,frame_0219.jpg,0.0,same_build_sequence
frame_0219.jpg,frame_0220.jpg,0.0,same_build_sequence
frame_0220.jpg,frame_0221.jpg,0.0,same_build_sequence
frame_0221.jpg,frame_0222.jpg,0.0,same_build_sequence
frame_0222.jpg,frame_0223.jpg,0.077882,new_slide
frame_0223.jpg,frame_0224.jpg,0.026458,same_build_sequence
frame_0224.jpg,frame_0225.jpg,0.0,same_build_sequence
frame_0225.jpg,frame_0226.jpg,0.0,same_build_sequence
frame_0226.jpg,frame_0227.jpg,0.0,same_build_sequence
frame_0227.jpg,frame_0228.jpg,0.0,same_build_sequence
frame_0228.jpg,frame_0229.jpg,0.0,same_build_sequence
frame_0229.jpg,frame_0230.jpg,8.7e-05,same_build_sequence
frame_0230.jpg,frame_0231.jpg,0.007708,same_build_sequence
frame_0231.jpg,frame_0232.jpg,0.0,same_build_sequence
frame_0232.jpg,frame_0233.jpg,0.0,same_build_sequence
frame_0233.jpg,frame_0234.jpg,0.0,same_build_sequence
frame_0234.jpg,frame_0235.jpg,5.2e-05,same_build_sequence
frame_0235.jpg,frame_0236.jpg,0.008177,same_build_sequence
frame_0236.jpg,frame_0237.jpg,0.0,same_build_sequence
frame_0237.jpg,frame_0238.jpg,0.0,same_build_sequence
frame_0238.jpg,frame_0239.jpg,0.0,same_build_sequence
frame_0239.jpg,frame_0240.jpg,0.0,same_build_sequence
frame_0240.jpg,frame_0241.jpg,0.0,same_build_sequence
frame_0241.jpg,frame_0242.jpg,0.0,same_build_sequence
frame_0242.jpg,frame_0243.jpg,0.0,same_build_sequence
frame_0243.jpg,frame_0244.jpg,0.0,same_build_sequence
frame_0244.jpg,frame_0245.jpg,0.0,same_build_sequence
frame_0245.jpg,frame_0246.jpg,0.0,same_build_sequence
frame_0246.jpg,frame_0247.jpg,0.014149,same_build_sequence
frame_0247.jpg,frame_0248.jpg,0.0,same_build_sequence
frame_0248.jpg,frame_0249.jpg,0.0,same_build_sequence
frame_0249.jpg,frame_0250.jpg,0.0,same_build_sequence
frame_0250.jpg,frame_0251.jpg,0.0,same_build_sequence
frame_0251.jpg,frame_0252.jpg,0.0,same_build_sequence
frame_0252.jpg,frame_0253.jpg,0.0,same_build_sequence
frame_0253.jpg,frame_0254.jpg,0.0,same_build_sequence
frame_0254.jpg,frame_0255.jpg,0.0,same_build_sequence
frame_0255.jpg,frame_0256.jpg,0.0,same_build_sequence
frame_0256.jpg,frame_0257.jpg,0.0,same_build_sequence
frame_0257.jpg,frame_0258.jpg,0.0,same_build_sequence
frame_0258.jpg,frame_0259.jpg,0.0,same_build_sequence
frame_0259.jpg,frame_0260.jpg,0.0,same_build_sequence
frame_0260.jpg,frame_0261.jpg,0.000538,same_build_sequence
frame_0261.jpg,frame_0262.jpg,0.016649,same_build_sequence
frame_0262.jpg,frame_0263.jpg,0.0,same_build_sequence
frame_0263.jpg,frame_0264.jpg,0.0,same_build_sequence
frame_0264.jpg,frame_0265.jpg,0.0,same_build_sequence
frame_0265.jpg,frame_0266.jpg,0.0,same_build_sequence
frame_0266.jpg,frame_0267.jpg,0.0,same_build_sequence
frame_0267.jpg,frame_0268.jpg,0.0,same_build_sequence
frame_0268.jpg,frame_0269.jpg,0.0,same_build_sequence
frame_0269.jpg,frame_0270.jpg,0.0,same_build_sequence
frame_0270.jpg,frame_0271.jpg,0.0,same_build_sequence
frame_0271.jpg,frame_0272.jpg,0.0,same_build_sequence
frame_0272.jpg,frame_0273.jpg,0.0,same_build_sequence
frame_0273.jpg,frame_0274.jpg,0.0,same_build_sequence
frame_0274.jpg,frame_0275.jpg,0.0,same_build_sequence
frame_0275.jpg,frame_0276.jpg,0.0,same_build_sequence
frame_0276.jpg,frame_0277.jpg,0.0,same_build_sequence
frame_0277.jpg,frame_0278.jpg,0.0,same_build_sequence
frame_0278.jpg,frame_0279.jpg,0.0,same_build_sequence
frame_0279.jpg,frame_0280.jpg,0.0,same_build_sequence
frame_0280.jpg,frame_0281.jpg,0.0,same_build_sequence
frame_0281.jpg,frame_0282.jpg,0.0,same_build_sequence
frame_0282.jpg,frame_0283.jpg,0.0,same_build_sequence
frame_0283.jpg,frame_0284.jpg,0.0,same_build_sequence
frame_0284.jpg,frame_0285.jpg,0.008507,same_build_sequence
frame_0285.jpg,frame_0286.jpg,0.0,same_build_sequence
frame_0286.jpg,frame_0287.jpg,0.0,same_build_sequence
frame_0287.jpg,frame_0288.jpg,0.0,same_build_sequence
